"Day","Cash On Hand"
61,3155058
62,3091735
63,2736271
64,4138621
65,6150087
66,5698068
67,4966586
68,5091801
69,4481325
70,5480738
71,5434836
72,5089861
73,5952413
74,5247572
75,5602153
76,4221196
77,4542285
78,6786764
79,7370080
80,7639364
81,5988140
82,7107301
83,6178704
84,7572618
85,7788036
86,8939879
87,11098553
88,11193891
89,11319930
90,11365898
