"Day","Sales","Trading Profit","Operating Expense","Net Profit"
61,27399093,8812887,5686652,3126235
62,27522861,7989040,5776893,2212147
63,28755488,8884456,5851680,3032776
64,30526808,9201460,6170210,3031250
65,32963695,11320315,6220657,5099658
66,33231711,11227899,6285192,4942707
67,33701011,11643091,6322702,5320389
68,33869074,11625753,6370550,5255203
69,33999394,11697400,6408602,5288798
70,35194255,11204343,6523874,4680469
71,35979920,11713054,6568131,5144923
72,36539682,11135696,6672548,4463148
73,38294293,12349056,6754819,5594237
74,38421089,12318960,6805566,5513394
75,39231610,12643798,6884541,5759257
76,39387640,12745687,6918348,5827339
77,40189801,11187783,7236670,3951113
78,42617276,13494674,7288176,6206498
79,43781540,14604470,7594624,7009846
80,44520017,15273925,7630217,7643708
81,44651410,15354537,7668834,7685703
82,45981749,14968912,7819072,7149840
83,46701712,14377067,8496354,5880713
84,49285243,16251547,8615961,7635586
85,50423569,17208301,8649519,8558782
86,51973460,17582067,8861317,8720750
87,54169847,19702343,8899030,10803313
88,54298672,19758417,8932517,10825900
89,54477865,19884913,8971671,10913242
90,54640387,19993811,9004825,10988986
