"Day","Cash On Hand"
31,921215
32,582103
33,611080
34,1759706
35,2653610
36,2409821
37,2679256
38,2485655
39,2110985
40,3140156
41,2936009
42,1905819
43,1999557
44,1727072
45,1533901
46,2646946
47,3399117
48,3435648
49,3405889
50,2369152
51,2409619
52,2900068
53,3366230
54,3653097
55,3521679
56,3717155
57,3406414
58,3497351
59,2772037
60,3670398
